h3_index,lsoa21cd,percentage_coverage
89194e6842bffff,E01003654,0.02
89194e6842bffff,E01003658,5.91
89195da501bffff,E01002198,20.31
89195da501bffff,E01002125,1.85
89195da501bffff,E01002124,33.31
89194ada99bffff,E01004529,22.62
89194ada99bffff,E01004530,1.42
89194ada99bffff,E01004528,27.14
89194ada99bffff,E01004526,15.09
89194ada99bffff,E01004527,6.88
89194ada99bffff,E01004525,2.88
89194ad2e43ffff,E01003202,9.57
89194ad2e43ffff,E01003199,0.07
89194ad2e43ffff,E01003198,42.57
89195dae537ffff,E01002106,26.01
89195dae537ffff,E01002230,5.79
89194ad0a5bffff,E01000705,4.1
89194ad0a5bffff,E01000699,0.37
89194ad0a5bffff,E01000744,32.66
89194ad0a5bffff,E01000743,5.71
89194e6db9bffff,E01000386,10.54
89194e6db9bffff,E01000385,0.02
89194e6db9bffff,E01000384,12.01
89194ad85b3ffff,E01004572,12.04
89195dac14fffff,E01002499,3.79
89195dac14fffff,E01002494,0.31
89195dadb13ffff,E01034608,8.81
89194e61873ffff,E01002324,19.95
89194e693cbffff,E01001976,23.95
89194e693cbffff,E01001979,23.43
89194e693cbffff,E01001978,17.88
89194e6d177ffff,E01000414,0.17
89194e6d177ffff,E01000388,16.41
89194e6d177ffff,E01000392,3.07
89194ad0037ffff,E01003227,7.32
89194ad0037ffff,E01003226,16.83
89194ad0037ffff,E01003232,22.6
89194ac234bffff,E01001093,0.87
89194ac234bffff,E01001095,19.34
89194ac234bffff,E01001100,6.64
89194ac234bffff,E01001033,9.56
89194ad9553ffff,E01002669,30.2
89194ad9553ffff,E01002658,0.91
89194e6ad8fffff,E01002250,0.06
89194e6ad8fffff,E01002246,1.23
89194e6ad8fffff,E01002244,1.39
89194e6ad8fffff,E01002330,16.95
89195db4c47ffff,E01001412,0.66
89194e60e4fffff,E01002257,12.01
89194e60e4fffff,E01002253,0.27
89194ad716bffff,E01000752,1.39
89194ad716bffff,E01000750,5.23
89194ad716bffff,E01000757,10.87
89195da5597ffff,E01000260,11.58
89194e689a7ffff,E01034206,1.68
89194e689a7ffff,E01034205,0.12
89194e689a7ffff,E01034476,3.64
89194e689a7ffff,E01034478,1.65
89194e6a36bffff,E01003657,4.35
89194e6a36bffff,E01003703,3.91
89195daeab3ffff,E01001309,18.03
89195daeab3ffff,E01001310,14.44
89195dac6cbffff,E01002533,2.86
89195dac6cbffff,E01002473,1.46
89194ad299bffff,E01001599,18.09
89194ad299bffff,E01001600,4.03
89195da4b73ffff,E01035718,3.54
89195d368bbffff,E01002610,2.91
89195da6537ffff,E01001397,25.09
89195da6537ffff,E01001499,9.28
89195dae08fffff,E01002148,3.52
89195dae08fffff,E01002147,2.42
89195dae08fffff,E01002144,2.29
89194ad810bffff,E01002956,8.36
89194ad810bffff,E01002955,8.34
89194e69947ffff,E01033579,3.27
89194e69947ffff,E01034222,15.76
89194ad05b3ffff,E01003203,19.42
89194ad05b3ffff,E01003288,33.69
89194ad05b3ffff,E01003199,2.57
89195d344d3ffff,E01002444,0.6
89194e6b30bffff,E01004355,9.08
89194e6b30bffff,E01004356,8.98
89194e6b30bffff,E01004358,2.21
89194e6b30bffff,E01004357,7.24
89194ad9acfffff,E01003823,0.73
89194ad9acfffff,E01003827,9.31
89194e6f0b7ffff,E01002370,1.44
89194e6f0b7ffff,E01000090,0.0
89194e6f0b7ffff,E01002368,3.88
89195da414fffff,E01000885,3.55
89195da414fffff,E01000884,0.63
89195da414fffff,E01000899,7.59
89194e613cbffff,E01002308,20.75
89194adb493ffff,E01001247,0.75
89194adb493ffff,E01001278,2.24
89194adb493ffff,E01033939,33.22
89194adb493ffff,E01033938,1.44
89195da5b13ffff,E01001239,7.1
89195da5b13ffff,E01034026,30.19
89195da5b13ffff,E01001246,3.0
89195da74d7ffff,E01000249,1.84
89195daf02fffff,E01002473,0.03
89195daf02fffff,E01002475,11.28
89194e6e693ffff,E01002348,3.41
89194ad90abffff,E01002656,15.19
89194ad90abffff,E01002654,13.38
89194ad90abffff,E01002655,2.53
89194ad1553ffff,E01003184,0.01
89194ad1553ffff,E01003181,36.03
89194ad1553ffff,E01003183,15.03
89194ad1553ffff,E01003100,41.75
89195dacc47ffff,E01001330,15.92
89195dacc47ffff,E01001328,12.39
89194e6c2abffff,E01000327,13.59
89194e6c2abffff,E01000355,9.74
89194adaa6fffff,E01003462,5.92
89194adaa6fffff,E01003460,1.93
89195d36e37ffff,E01002602,24.04
89195d36e37ffff,E01002601,2.82
89194ad0b2fffff,E01001128,1.34
89194ad0b2fffff,E01001135,20.29
89194ad0b2fffff,E01000837,0.02
89194e69ec3ffff,E01004395,6.29
89194e6dc6fffff,E01000445,3.76
89194e6dc6fffff,E01000443,11.13
89194e6dc6fffff,E01000446,14.85
89195da6ab3ffff,E01002774,1.71
89195da6ab3ffff,E01002809,32.52
89195da6ab3ffff,E01002772,0.62
89195da6ab3ffff,E01002807,22.63
89195da6ab3ffff,E01002753,50.15
89195da6ab3ffff,E01002760,0.26
89194ad8687ffff,E01003862,8.71
89194ad8687ffff,E01003865,2.8
89194ad8687ffff,E01003848,32.87
89194ad8687ffff,E01033571,2.08
89195dac223ffff,E01002463,4.98
89195dac223ffff,E01002460,16.75
89195dac223ffff,E01002458,0.01
89194ac2e43ffff,E01001102,0.66
89194ac2e43ffff,E01001103,12.29
89195da46cbffff,E01000259,6.21
89195da46cbffff,E01000255,1.38
89194e6f633ffff,E01000095,0.19
89194e6f633ffff,E01000056,15.34
89194e6f633ffff,E01000054,30.27
89194ada04bffff,E01003801,12.37
89194ada04bffff,E01001894,4.84
89194ada04bffff,E01001932,14.79
89195d36413ffff,E01002490,17.17
89195d36413ffff,E01002488,12.34
89195da608fffff,E01001534,2.37
89195da608fffff,E01001533,13.26
89195da608fffff,E01001532,0.47
89195da608fffff,E01001521,8.27
89194e61947ffff,E01002265,0.1
89194e61947ffff,E01002288,27.52
89194ad010bffff,E01003194,5.4
89194ad010bffff,E01003308,11.87
89194ad010bffff,E01003321,34.79
89194e6d24bffff,E01001595,0.01
89194e6d24bffff,E01001588,18.09
89194ad9627ffff,E01034039,0.24
89194ad9627ffff,E01034038,25.31
89194ad9627ffff,E01002663,0.09
89194ad9627ffff,E01002662,22.79
89194e6ae63ffff,E01003639,6.31
89194e6ae63ffff,E01003701,9.75
89194ad1acfffff,E01004522,0.1
89194ad1acfffff,E01004521,41.4
89194ad1acfffff,E01004518,7.18
89194ad1acfffff,E01004517,23.17
89195dad1c3ffff,E01002461,0.14
89195db4d1bffff,E01001516,5.0
89195db4d1bffff,E01001550,33.98
89195db4d1bffff,E01001549,1.18
89194ac0037ffff,E01001016,9.04
89195da566bffff,E01002111,0.57
89195da566bffff,E01002109,12.9
89195da566bffff,E01002229,4.33
89194ad3493ffff,E01033712,4.52
89194ad3493ffff,E01033704,26.21
89194ad3493ffff,E01001839,27.54
89194e68a7bffff,E01003595,0.67
89194e68a7bffff,E01003600,37.09
89194e68a7bffff,E01003592,0.63
89194e68a7bffff,E01003630,0.55
89194e68a7bffff,E01003598,62.85
89194e68a7bffff,E01003637,1.51
89194e68a7bffff,E01003596,4.19
89195da702fffff,E01000255,0.12
89195da702fffff,E01000279,1.85
89195daeb87ffff,E01001346,5.32
89195daeb87ffff,E01001266,11.25
89194ad8c03ffff,E01003446,1.95
89194ad8c03ffff,E01003444,18.51
89194ad8c03ffff,E01003443,18.64
89194ad10abffff,E01003090,5.4
89194ad10abffff,E01003094,12.14
89194ad10abffff,E01003093,12.14
89194ad10abffff,E01003128,73.28
89194ad10abffff,E01003092,2.95
89194ad10abffff,E01003126,0.0
89194e68057ffff,E01003668,9.77
89194e68057ffff,E01003765,1.41
89194e68057ffff,E01003674,25.97
89194ad2a6fffff,E01003348,0.33
89194ad2a6fffff,E01003350,38.12
89194ad2a6fffff,E01003219,0.54
89195da4c47ffff,E01000906,10.21
89195da4c47ffff,E01000845,38.61
89195da4c47ffff,E01000843,41.77
89195da4c47ffff,E01000903,0.01
89194ada5c7ffff,E01002834,20.48
89194ada5c7ffff,E01002835,5.02
89194ada5c7ffff,E01002839,65.48
89194ada5c7ffff,E01002888,36.15
89194ada5c7ffff,E01002812,4.69
89195da660bffff,E01000175,17.45
89195da660bffff,E01000174,3.7
89194ad4433ffff,E01000688,1.77
89194ad4433ffff,E01000680,0.95
89194e61ec3ffff,E01002340,18.64
89194e61ec3ffff,E01002339,10.83
89194e61ec3ffff,E01002338,0.03
89194e61ec3ffff,E01002334,0.67
89195dae163ffff,E01002159,21.69
89195dae163ffff,E01002164,11.5
89195dae163ffff,E01002163,5.68
89194e69a1bffff,E01001757,42.6
89194e69a1bffff,E01001734,0.02
89194e69a1bffff,E01033713,20.55
89194e69a1bffff,E01033703,29.52
89194ad0687ffff,E01003984,35.95
89194ad0687ffff,E01003988,5.51
89194ad0687ffff,E01004003,10.85
89194e6f18bffff,E01002370,3.12
89195da4223ffff,E01000223,0.03
89195da4223ffff,E01000222,0.17
89195da4223ffff,E01000221,22.19
89195da4223ffff,E01000307,0.02
89194ad204bffff,E01004214,2.36
89194ad204bffff,E01004221,30.13
89194ad204bffff,E01032780,4.74
89194ac05b3ffff,E01001104,5.55
